Module,Frontend Route,Backend Service,Database,Status,Dependencies,Frontend Component,Connected To,Context Used,Cost Model,User Primary Role
Secrets Manager,/secrets,/api/secrets,Secrets,Working,Encrypted storage,SecretsManagerPage.tsx,Integrations,API keys,Free (encryption only),Admin
Skill Library,/skills,/api/skills,Skills,Partial,Skill CRUD,SkillsPage.tsx,Mentrix Companion + Skills Engine,Skill text,Free,Developer
Skills Engine,/skills-engine,/api/skills/run,Skill runs,Partial,Skill execution,SkillsEnginePage.tsx,Agent Mode,Skill code,Depends on skill,Developer
Memory System,/memory,/api/memory,Project Memory,Partial,Conversation + project context,MemoryPage.tsx,Mentrix Companion (reads),Memories,Free,Developer
Dream Engine,/dream-engine,/api/dream-engine/cycle,Dream cycles,Not Implemented,Learning loop,DreamEnginePage.tsx,Build (no link),Lesson plans,Would be gpt-4o,Developer
Data Layer,/data-layer,/api/data-layer,Data schema,Incomplete,Data models,DataLayerPage.tsx,Data Flywheel,Schema,Free,Architect
Data Flywheel,/data-flywheel,/api/data-flywheel,Data automation,Not Implemented,Automated workflows,DataFlywheelPage.tsx,Standalone,Workflow rules,Would be free,Architect
Permissions,/permissions,/api/permissions,Permission rules,Working,Rule enforcement,PermissionsPage.tsx,Mentrix Companion (indirect),Permission rules,Free (deterministic),Admin
Transfer & Onboard,/transfer,/api/transfer,Project copies,Incomplete,Project replication,TransferPage.tsx,Standalone,Project data,Free,Admin
Knowledge Base,/knowledge-base,/api/knowledge-base,Knowledge docs,Partial,Documentation index,KnowledgeBasePage.tsx,Standalone,Doc search,Free,Developer
Playbooks,/playbooks,/api/playbooks,Playbooks,Partial,Workflow templates,PlaybooksPage.tsx,Orchestration (indirect),Playbook steps,Free,Developer
Scheduled Tasks,/scheduled-tasks,/api/tasks/schedule,Scheduled tasks,Working,Cron jobs,ScheduledTasksPage.tsx,Standalone,Task config,Free,DevOps
Session Insights,/session-insights,/api/sessions/insights,Session data,Partial,Session analytics,SessionInsightsPage.tsx,Standalone,Session metrics,Free,Manager
Conversations,/conversations,/api/conversations,Conversations,Working,Chat history,ConversationsPage.tsx,Standalone,Conversation search,Free,Developer
App Runner,/app-runner,/api/app-runner,Container execution,Incomplete,Application sandbox,AppRunnerPage.tsx,Build output,App state,Free (compute paid),Developer
File Explorer,/file-explorer,/api/workspace/files,Workspace files,Partial,File system,FileExplorerPage.tsx,Standalone,Directory tree,Free,Developer
